DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,TIPO DE HURTO,CANTIDAD
CAUCA,POPAYÁN (CT),19001000,SIN EMPLEO DE ARMAS,21/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,SIN EMPLEO DE ARMAS,21/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,LLAVE MAESTRA,22/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,CALOTO,19142000,NO REPORTA,22/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,SANTANDER DE QUILICHAO,19698000,NO REPORTA,23/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,NO REPORTA,24/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,SIN EMPLEO DE ARMAS,25/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,CALOTO,19142000,ARMA DE FUEGO,26/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,LA VEGA,19397000,ARMA DE FUEGO,26/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,SANTANDER DE QUILICHAO,19698000,NO REPORTA,26/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,BUENOS AIRES,19110000,ARMA DE FUEGO,27/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,SUCRE,19785000,ARMA DE FUEGO,27/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,SANTANDER DE QUILICHAO,19698000,SIN EMPLEO DE ARMAS,28/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,SILVIA,19743000,SIN EMPLEO DE ARMAS,31/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,ARMA DE FUEGO,2/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,LLAVE MAESTRA,2/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,2
CAUCA,POPAYÁN (CT),19001000,LLAVE MAESTRA,4/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,SANTANDER DE QUILICHAO,19698000,LLAVE MAESTRA,4/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,ARMA DE FUEGO,5/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,LA SIERRA,19392000,SIN EMPLEO DE ARMAS,6/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,BOLÍVAR,19100000,SIN EMPLEO DE ARMAS,7/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,SIN EMPLEO DE ARMAS,7/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,CORINTO,19212000,ARMA DE FUEGO,8/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
